t,a
555,14.695705128205111
556,4.989855769230787
557,-22.072836538461555
558,-25.437580128205127
559,-25.073092948717946
560,-22.27653846153844
561,-10.658333333333369
562,-1.9016666666666608
563,37.539102564102592
564,56.112660256410294
565,73.919310897435977
566,73.165416666666573
567,55.1355929487179
568,49.831682692307616
569,43.523413461538482
570,42.00022435897445
571,17.241698717948584
572,-5.888990384615342
573,-50.967596153846131
574,-56.8364102564103
575,-49.717724358974344
576,-48.933974358974439
577,-54.829871794871757
578,-53.055304487179406
579,-39.012419871794918
580,-16.786907051282022
581,51.459086538461506
582,81.241907051282084
583,105.35564102564109
584,99.582532051281959
585,78.071634615384767
586,69.529855769230764
587,51.294294871794939
588,36.0095512820513
589,0.96203525641029763
590,-8.0460416666666656
591,-0.76527243589749194
592,-1.9060576923077579
593,-25.464775641025653
594,-24.273477564102635
595,-14.529727564102606
596,-8.8536378205128621
597,5.1419711538461508
598,15.376105769230723
599,37.856282051282
600,36.448958333333351
601,41.291778846153861
602,46.486634615384638
603,54.314855769230739
604,55.202548076923073
605,44.468301282051335
606,24.062131410256416
607,10.317836538461492
608,7.5613782051282135
609,5.0686698717948637
610,12.151009615384568
611,15.749342948717953
612,23.773878205128195
613,20.03334935897437
614,10.077740384615383
615,-18.848974358974363
616,-30.614086538461564
617,-23.767099358974406
618,-6.7895032051282049
619,35.078509615384604
620,44.473108974358965
621,40.295224358974323
622,36.035721153846168
623,17.246410256410226
624,5.1565064102563953
625,-7.7743589743589609
626,-14.22852564102563
627,-41.336025641025685
628,-44.211394230769272
629,-14.820176282051305
630,11.038413461538461
631,67.210272435897537
632,90.1364423076923
633,88.96272435897427
634,76.895592948718061
635,61.666009615384631
636,55.484599358974314
637,26.174839743589835
638,11.267099358974383
639,-18.248365384615393
640,-32.787227564102508
641,-80.420560897435976
642,-79.454631410256411
643,-41.466298076923096
644,-14.79549679487176
645,37.961506410256412
646,55.320673076923029
647,63.993397435897414
648,58.18955128205122
649,49.497211538461642
650,51.367644230769216
651,29.791955128205153
652,15.924358974358961
653,1.0051121794871933
654,-10.333237179487192
655,-32.970881410256453
656,-33.733942307692359
657,-16.629054487179506
658,-5.3053685897436145
659,-18.118028846153841
660,-25.769342948717956
661,-39.129551282051281
662,-38.165993589743564
663,-7.8225320512820531
664,7.0087660256410818
665,13.448733974358996
666,5.5464903846153959
667,-30.358669871794895
668,-54.432099358974305
669,-57.369615384615379
670,-42.969615384615388
671,-30.948493589743613
672,-31.611233974358967
673,-15.633237179487166
674,-12.173413461538445
675,3.4770512820512938
676,10.498525641025649
677,36.218461538461533
678,47.107548076923116
679,31.98956730769229
680,17.49413461538461
681,-0.0779487179487624
682,-10.875560897435847
683,-26.843926282051285
684,-30.420881410256396
685,-37.548685897435888
686,-35.199791666666641
687,-31.456282051282074
688,-29.169743589743547
689,-32.572884615384623
690,-24.642131410256418
691,-17.438317307692298
692,-7.8476923076923129
693,15.970737179487166
694,23.708541666666676
695,25.058205128205145
696,16.146474358974352
697,-0.12092948717954582
698,-10.119407051282062
699,-32.48208333333335
700,-32.5050480769231
701,-18.980016025641032
702,-28.557483974358981
703,-63.650576923076969
704,-71.145817307692312
705,-57.113028846153817
706,-57.977083333333361
707,-34.475657051282063
708,-16.54451923076925
709,-15.268685897435914
710,-0.84116987179487523
711,32.12400641025642
712,34.974006410256457
713,38.845673076923106
714,43.2918108974357
715,48.271842948717868
716,48.664567307692387
717,62.786666666666704
718,76.481410256410143
719,65.9337179487179
720,53.847451923076932
721,65.091826923076979
722,53.999983974359012
723,43.817387820512835
724,39.426250000000024
725,22.951426282051298
726,7.9082211538461591
727,-15.209134615384608
